image,image_timestamp,pose_timestamp,car_S1_pose_x,car_S1_pose_y,car_S1_pose_angle,self_pose_x,self_pose_y,self_pose_angle,car_S3_pose_x,car_S3_pose_y,car_S3_pose_angle
/home/pi/360_images/20250813/image_1755092475447719110.png,1755092475447719110,1.7550924754554757e+18,-226.35894775390625,35.055843353271484,-35.040557861328125,348.84674072265625,-96.36857604980469,-31.986385345458984,-653.6991577148438,460.1714172363281,150.91140747070312
none,none,1.7550924754654758e+18,-223.6831512451172,33.50880432128906,-35.20729064941406,349.47467041015625,-94.84252166748047,-33.928401947021484,-653.8396606445312,458.34417724609375,149.068115234375
none,none,1.755092475475476e+18,-220.80052185058594,31.90317726135254,-35.362091064453125,350.10125732421875,-93.25355529785156,-35.867828369140625,-654.0400390625,456.522705078125,147.23190307617188
none,none,1.7550924754854758e+18,-217.85702514648438,30.35681915283203,-35.47528076171875,350.79229736328125,-91.43675231933594,-37.91058349609375,-654.3599243164062,454.8128356933594,145.39398193359375
none,none,1.7550924754954757e+18,-214.950927734375,28.604129791259766,-35.593971252441406,351.5383605957031,-89.70832061767578,-39.941707611083984,-654.7130737304688,452.90594482421875,143.5995635986328
/home/pi/360_images/20250813/image_1755092475481056095.png,1755092475481056095,1.7550924755054758e+18,-211.81301879882812,26.83660125732422,-35.72916793823242,352.36798095703125,-87.94808959960938,-41.84992218017578,-655.1368408203125,451.04229736328125,141.75389099121094
none,none,1.755092475515476e+18,-209.01866149902344,25.317331314086914,-35.91542053222656,353.189208984375,-86.29210662841797,-43.82109832763672,-655.5492553710938,449.05841064453125,139.8975067138672
none,none,1.7550924755254758e+18,-205.8682403564453,23.600282669067383,-36.08000183105469,354.0020751953125,-84.69145965576172,-45.89671325683594,-655.9569702148438,446.9791564941406,138.0203399658203
none,none,1.7550924755354757e+18,-202.90045166015625,21.97990608215332,-36.22617721557617,355.0649108886719,-82.94977569580078,-47.92999267578125,-656.4188842773438,444.95233154296875,136.05755615234375
none,none,1.7550924755454758e+18,-199.94606018066406,20.29963493347168,-36.37873458862305,356.1551208496094,-81.4151611328125,-49.910064697265625,-657.0567016601562,442.9771423339844,134.1216278076172
none,none,1.755092475555476e+18,-196.78964233398438,18.358341217041016,-36.56401824951172,357.1747131347656,-79.96341705322266,-51.86209487915039,-657.8088989257812,441.05975341796875,132.21902465820312
/home/pi/360_images/20250813/image_1755092475547733194.png,1755092475547733194,1.7550924755654758e+18,-193.9687957763672,16.766691207885742,-36.75999069213867,358.2326965332031,-78.31794738769531,-53.866859436035156,-658.4727783203125,439.3254089355469,130.3544158935547
